Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K2,739,3,8,ND,753,Y,2024-03-21,8:59,2024-03-22,16:53,0,,Y,Mike,Ferne,N,2024-03-25,9:30,
K2,750,3,5,ND,762,Y,2024-03-21,9:57,2024-03-22,16:56,0,3,Y,Mike,Ferne,N,2024-03-25,9:45,
K3,744,1,6,ND,767,N,2024-03-21,9:15,2024-03-22,16:59,0,,Y,Mike,Ferne,N,2024-03-25,10:06,"Some confusion with the style. Found another one that we thought was correct one day later, but disregarded it."
K1,732,5,7,ND,758,Y,2024-03-22,9:33,2024-03-23,15:58,0,,Y,Mike,Ferne,N,2024-03-28,8:20,Ants on the flower and style is eaten (baby style)
K1,735,5,5,ND,761,Y,2024-03-22,9:21,2024-03-23,9:19,0,0,Y,Mike,Ferne,N,2024-03-28,13:54,Flower fell off early
K2,750,4,5,ND,766,N,2024-03-22,8:59,2024-03-23,15:46,0.5,2,Y,Mike,Ferne,N,2024-03-25,9:46,
K3,747,1,2,ND,762,Y,2024-03-22,8:34,2024-03-23,15:35,0,,Y,Mike,Ferne,N,2024-03-28,14:08,Style stuck to fruit
Mike,740,2,5,ND,769,N,2024-03-22,9:44,2024-03-23,16:04,0,,Y,Mike,Ferne,N,2024-03-28,9:07,Went in and out 2 times
K1,734,2,4,ND,768,N,2024-03-23,9:26,2024-03-24,15:25,0,,Y,Mike,Ferne,N,2024-03-25,8:41,Went in twice. Style was eaten and is now in two parts.
K1,737,3,8,ND,758,Y,2024-03-23,9:07,2024-03-24,15:20,0,,Y,Mike,Ferne,N,2024-03-28,8:35,
K1,738,3,7,ND,767,N,2024-03-23,9:01,2024-03-24,15:17,0,,Y,Mike,Ferne,N,2024-03-28,8:42,
K2,742,4,5,ND,767,N,2024-03-23,8:18,2024-03-24,15:32,0,,Y,Mike,Ferne,N,2024-03-25,9:41,
K2,800,5,8,ND,758,Y,2024-03-23,8:30,2024-03-24,15:34,0,16,Y,Mike,Ferne,N,2024-03-25,9:55,
Mike,740,4,5,ND,758,Y,2024-03-23,9:35,2024-03-24,15:38,0,,Y,Mike,Ferne,N,2024-03-25,10:34,
K1,732,5,7,ND,769,N,2024-03-25,8:29,2024-03-26,16:34,0,,Y,Mike,Ferne,N,2024-03-28,8:20,
K1,735,5,6,ND,762,Y,2024-03-25,8:47,2024-03-26,16:38,0,,Y,Mike,Ferne,N,2024-03-28,13:54,
K1,737,3,9,ND,766,N,2024-03-25,9:10,2024-03-26,16:40,0,,Y,Mike,Ferne,N,2024-03-28,8:35,Lots of nectar
K1,738,3,7,ND,758,Y,2024-03-25,9:18,2024-03-26,16:43,0,,Y,Mike,Ferne,N,2024-03-28,8:42,
K3,747,1,3,ND,769,N,2024-03-25,10:16,2024-03-26,16:52,0,,Y,Mike,Ferne,N,2024-03-28,14:08,Big flower. Style stuck to fruit.
Mike,740,2,5,ND,762,Y,2024-03-25,10:30,2024-03-26,16:32,0,,Y,Mike,Ferne,N,2024-03-28,9:07,
K1,736,6,10,ND,762,Y,2024-03-26,9:25,2024-03-28,13:40,0,6,Y,Mike,Ferne,N,2024-03-28,13:41,
K1,737,8,9,ND,758,Y,2024-03-26,9:35,2024-03-28,13:46,0,1,Y,Mike,Ferne,N,2024-03-28,13:47,
