patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
K2,552,1,Ctrl,N/A,14-Mar,8:53:00 AM,N/A,N/A,15-Mar,3:02,covered,N,
K2,552,4,Ctrl,N/A,14-Mar,8:53:00 AM,N/A,N/A,15-Mar,3:03,covered,N,
K2,543,1,SW,562,14-Mar,8:56:00 AM,N/A,N/A,15-Mar,3:03,covered,N,
K2,543,2,NN,546,14-Mar,8:57:00 AM,N/A,N/A,15-Mar,3:04,covered,N,
K2,543,5,ND,527,14-Mar,8:59:00 AM,0,N/A,15-Mar,3:05,covered,N,
K2,555,5,Ctrl,N/A,14-Mar,9:01:00 AM,N/A,N/A,15-Mar,3:05,covered,N,
K2,558,5,SW,562,14-Mar,9:03:00 AM,N/A,N/A,15-Mar,3:06,covered,N,
K2,558,6,N,546,14-Mar,9:05:00 AM,N/A,527,15-Mar,3:07,covered,N,Lots of nectar
K1,530,4,NN,527,14-Mar,9:09:00 AM,N/A,N/A,15-Mar,3:09,covered,N,
K1,535,4,N,562,14-Mar,9:13:00 AM,N/A,527,15-Mar,3:10,covered,N,
K1,534,1,Ctrl,N/A,14-Mar,9:14:00 AM,N/A,N/A,15-Mar,3:10,covered,N,Style eaten
K1,534,3,Ctrl,N/A,14-Mar,9:14:00 AM,N/A,N/A,15-Mar,3:11,covered,N,
